Date,Order ID,Customer Name,Region,Product Category,Product Name,Units Sold,Unit Price,Sales,Cost,Profit,Discount,Payment Method,Sales Channel
10/8/2024,ORD0001,Customer 208,Central,Appliances,Vacuum Cleaner,5,467.92,2339.6,1992.58,347.02,0.05,Credit Card,Offline
11/1/2024,ORD0002,Customer 10,East,Clothing,Summer T-Shirt,7,1218.28,8527.96,7560.47,967.49,0.15,Cash,Offline
1/21/2024,ORD0003,Customer 76,West,Furniture,Office Chair,4,450.78,1803.12,1448.62,354.5,0.05,Credit Card,Online
3/22/2024,ORD0004,Customer 288,East,Stationery,Highlighter Set,5,841.35,4206.75,2733.68,1473.07,0.1,Bank Transfer,Online
2/24/2024,ORD0005,Customer 121,Central,Clothing,Jeans,10,126.86,1268.6,1049.58,219.02,0.05,Bank Transfer,Online
10/2/2024,ORD0006,Customer 183,South,Electronics,Wireless Earbuds,4,485.98,1943.92,1536.06,407.86,0.05,Cash,Offline
12/4/2024,ORD0007,Customer 103,South,Stationery,Notebook,10,126.81,1268.1,1003.03,265.07,0.15,UPI,Online
7/23/2024,ORD0008,Customer 182,North,Stationery,Highlighter Set,7,1257.82,8804.74,7379.12,1425.62,0.1,Credit Card,Online
1/30/2024,ORD0009,Customer 128,Central,Clothing,Winter Jacket,4,1215.72,4862.88,3871.16,991.72,0.05,Cash,Offline
10/4/2024,ORD0010,Customer 11,North,Appliances,Air Conditioner,9,316.55,2848.95,2097.79,751.16,0.1,Credit Card,Online
7/15/2024,ORD0011,Customer 242,East,Clothing,Summer T-Shirt,6,946.76,5680.56,4424.93,1255.63,0.05,Credit Card,Offline
3/27/2024,ORD0012,Customer 252,South,Stationery,Ball Pen,6,878.26,5269.56,4500.05,769.51,0,Cash,Online
11/7/2024,ORD0013,Customer 260,East,Clothing,Winter Jacket,6,1396.43,8378.58,7000.06,1378.52,0.15,Cash,Online
9/3/2024,ORD0014,Customer 242,Central,Appliances,Blender Pro,2,979.9,1959.8,1657.63,302.17,0.15,Cash,Online
8/21/2024,ORD0015,Customer 275,North,Appliances,Microwave Oven,4,529.57,2118.28,1623.96,494.32,0.15,Credit Card,Offline
9/14/2024,ORD0016,Customer 130,East,Furniture,Dining Table,7,676.19,4733.33,4151.79,581.54,0.05,Cash,Offline
10/16/2024,ORD0017,Customer 143,South,Appliances,Blender Pro,5,1146.69,5733.45,4397.84,1335.61,0,Credit Card,Online
5/29/2024,ORD0018,Customer 220,South,Furniture,Standing Desk,7,901.37,6309.59,4479.35,1830.24,0.1,Cash,Offline
10/9/2024,ORD0019,Customer 229,West,Clothing,Formal Shoes,3,1124.14,3372.42,2310.94,1061.48,0,Bank Transfer,Offline
6/5/2024,ORD0020,Customer 22,West,Electronics,Laptop Pro,4,709.11,2836.44,2279.01,557.43,0.05,UPI,Offline
11/2/2024,ORD0021,Customer 160,West,Electronics,Wireless Earbuds,7,904.32,6330.24,5114.75,1215.49,0.1,Cash,Online
12/1/2024,ORD0022,Customer 287,East,Furniture,Office Chair,8,727.49,5819.92,4088.89,1731.03,0,Credit Card,Offline
1/14/2024,ORD0023,Customer 208,East,Stationery,Highlighter Set,2,87.88,175.76,145,30.76,0.05,Credit Card,Offline
7/28/2024,ORD0024,Customer 231,East,Stationery,Ball Pen,8,1474.95,11799.6,9380.46,2419.14,0,Credit Card,Offline
10/24/2024,ORD0025,Customer 296,East,Appliances,Air Conditioner,3,718.52,2155.56,1755.5,400.06,0.05,UPI,Offline
5/6/2024,ORD0026,Customer 11,South,Stationery,Highlighter Set,10,780.85,7808.5,5945.77,1862.73,0.05,Cash,Online
2/17/2024,ORD0027,Customer 45,Central,Stationery,Highlighter Set,9,933.17,8398.53,5433.2,2965.33,0.15,UPI,Offline
1/12/2024,ORD0028,Customer 266,East,Stationery,Notebook,10,610.68,6106.8,4046.66,2060.14,0.05,Cash,Online
11/26/2024,ORD0029,Customer 254,North,Appliances,Microwave Oven,9,697.1,6273.9,4211.43,2062.47,0.15,UPI,Offline
4/15/2024,ORD0030,Customer 229,West,Stationery,Notebook,4,351.14,1404.56,962.4,442.16,0.05,Credit Card,Online
9/26/2024,ORD0031,Customer 272,South,Appliances,Air Conditioner,7,847.72,5934.04,4741.29,1192.75,0,UPI,Online
